"Name","Location","Type"
"FinalizeSemaphore","External[ ? ]","External Function"
"InitializeSemaphore","External[ ? ]","External Function"
"AcquireSemaphore","External[ ? ]","External Function"
"ReleaseSemaphore","External[ ? ]","External Function"
"AllocateTlsSlot","External[ ? ]","External Function"
"FreeTlsSlot","External[ ? ]","External Function"
"InitializeNpad","External[ ? ]","External Function"
"SetSupportedNpadIdType","External[ ? ]","External Function"
"SetSupportedNpadStyleSet","External[ ? ]","External Function"
"GetNpadStyleSet","External[ ? ]","External Function"
"GetNpadStates","External[ ? ]","External Function"
"GetNpadStates","External[ ? ]","External Function"
"GetNpadStates","External[ ? ]","External Function"
"GetNpadStates","External[ ? ]","External Function"
"GetNpadStates","External[ ? ]","External Function"
"GetSixAxisSensorHandles","External[ ? ]","External Function"
"GetVibrationDeviceHandles","External[ ? ]","External Function"
"StartSixAxisSensor","External[ ? ]","External Function"
"InitializeVibrationDevice","External[ ? ]","External Function"
"GetSixAxisSensorStates","External[ ? ]","External Function"
"SetNpadJoyHoldType","External[ ? ]","External Function"
"SetNpadJoyAssignmentModeDual","External[ ? ]","External Function"
"SendVibrationValue","External[ ? ]","External Function"
"sin","External[ ? ]","External Function"
"ToCalendarTime","External[ ? ]","External Function"
"GetCurrentTime","External[ ? ]","External Function"
"IsInitialized","External[ ? ]","External Function"
"GetSystemTickFrequency","External[ ? ]","External Function"
"FinalizeLightEvent","External[ ? ]","External Function"
"InitializeLightEvent","External[ ? ]","External Function"
"WaitLightEvent","External[ ? ]","External Function"
"TimedWaitLightEvent","External[ ? ]","External Function"
"SignalLightEvent","External[ ? ]","External Function"
"ClearLightEvent","External[ ? ]","External Function"
"ClearEvent","External[ ? ]","External Function"
"DestroySystemEvent","External[ ? ]","External Function"
"strncat","External[ ? ]","External Function"
"SignalEvent","External[ ? ]","External Function"
"WaitEvent","External[ ? ]","External Function"
"CreateThread","External[ ? ]","External Function"
"SetThreadNamePointer","External[ ? ]","External Function"
"TimedWaitSystemEvent","External[ ? ]","External Function"
"FinalizeEvent","External[ ? ]","External Function"
"InitializeEvent","External[ ? ]","External Function"
"AbortImpl","External[ ? ]","External Function"
"GetSinkNodeId","External[ ? ]","External Function"
"GetSinkNodeId","External[ ? ]","External Function"
"GetSubMixNodeId","External[ ? ]","External Function"
"MoveToNextFrame","External[ ? ]","External Function"
"SetBuffer","External[ ? ]","External Function"
"PerformanceInfo","External[ ? ]","External Function"
"~PerformanceInfo","External[ ? ]","External Function"
"SetPerformanceFrameBuffer","External[ ? ]","External Function"
"GetEntries","External[ ? ]","External Function"
"GetTotalProcessingTime","External[ ? ]","External Function"
"SetAuxEnabled","External[ ? ]","External Function"
"IsAuxRemovable","External[ ? ]","External Function"
"GetAuxSampleRate","External[ ? ]","External Function"
"GetAuxSampleCount","External[ ? ]","External Function"
"ReadAuxSendBuffer","External[ ? ]","External Function"
"SetAuxInputOutput","External[ ? ]","External Function"
"WriteAuxReturnBuffer","External[ ? ]","External Function"
"GetRequiredBufferSizeForAuxSendReturnBuffer","External[ ? ]","External Function"
"AddAux","External[ ? ]","External Function"
"AddAux","External[ ? ]","External Function"
"RemoveAux","External[ ? ]","External Function"
"RemoveAux","External[ ? ]","External Function"
"AcquireSubMix","External[ ? ]","External Function"
"AddDeviceSink","External[ ? ]","External Function"
"AcquireFinalMix","External[ ? ]","External Function"
"AcquireMemoryPool","External[ ? ]","External Function"
"OpenAudioRenderer","External[ ? ]","External Function"
"ReleaseMemoryPool","External[ ? ]","External Function"
"StopAudioRenderer","External[ ? ]","External Function"
"CloseAudioRenderer","External[ ? ]","External Function"
"GetMemoryPoolState","External[ ? ]","External Function"
"SetSubMixMixVolume","External[ ? ]","External Function"
"SetSubMixMixVolume","External[ ? ]","External Function"
"StartAudioRenderer","External[ ? ]","External Function"
"SetSubMixDestination","External[ ? ]","External Function"
"SetSubMixDestination","External[ ? ]","External Function"
"AddCircularBufferSink","External[ ? ]","External Function"
"ReadCircularBufferSink","External[ ? ]","External Function"
"RequestAttachMemoryPool","External[ ? ]","External Function"
"RequestDetachMemoryPool","External[ ? ]","External Function"
"RequestUpdateAudioRenderer","External[ ? ]","External Function"
"InitializeAudioRendererConfig","External[ ? ]","External Function"
"IsValidAudioRendererParameter","External[ ? ]","External Function"
"GetAudioRendererWorkBufferSize","External[ ? ]","External Function"
"InitializeAudioRendererParameter","External[ ? ]","External Function"
"GetAudioRendererConfigWorkBufferSize","External[ ? ]","External Function"
"GetRequiredBufferSizeForPerformanceFrames","External[ ? ]","External Function"
"GetRequiredBufferSizeForCircularBufferSink","External[ ? ]","External Function"
"IsVoiceValid","External[ ? ]","External Function"
"SetVoicePitch","External[ ? ]","External Function"
"GetVoiceNodeId","External[ ? ]","External Function"
"SetVoiceVolume","External[ ? ]","External Function"
"AcquireVoiceSlot","External[ ? ]","External Function"
"AppendWaveBuffer","External[ ? ]","External Function"
"ReleaseVoiceSlot","External[ ? ]","External Function"
"SetVoicePriority","External[ ? ]","External Function"
"GetVoicePlayState","External[ ? ]","External Function"
"SetVoiceMixVolume","External[ ? ]","External Function"
"SetVoiceMixVolume","External[ ? ]","External Function"
"SetVoicePlayState","External[ ? ]","External Function"
"SetVoiceDestination","External[ ? ]","External Function"
"SetVoiceDestination","External[ ? ]","External Function"
"IsVoiceDroppedFlagOn","External[ ? ]","External Function"
"GetReleasedWaveBuffer","External[ ? ]","External Function"
"GetVoicePlayedSampleCount","External[ ? ]","External Function"
"SetVoiceBiquadFilterParameter","External[ ? ]","External Function"
"TryWaitEvent","External[ ? ]","External Function"
"ReadFile","External[ ? ]","External Function"
"strncpy","External[ ? ]","External Function"
"memmove","External[ ? ]","External Function"
"ListAudioDeviceName","External[ ? ]","External Function"
"SetAudioDeviceOutputVolume","External[ ? ]","External Function"
"log10f","External[ ? ]","External Function"
"IsMemoryPoolAttached","External[ ? ]","External Function"
"GetMemoryPoolAddress","External[ ? ]","External Function"
"GetMemoryPoolSize","External[ ? ]","External Function"
"sprintf","External[ ? ]","External Function"
"GetFileSize","External[ ? ]","External Function"
"OnAssertionFailure","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"GetUserId","External[ ? ]","External Function"
"OpenPreselectedUser","External[ ? ]","External Function"
"ListAddOnContent","External[ ? ]","External Function"
"QueryMountAddOnContentCacheSize","External[ ? ]","External Function"
"MountAddOnContent","External[ ? ]","External Function"
"SetGyroscopeZeroDriftMode","External[ ? ]","External Function"
"ShowControllerSupport","External[ ? ]","External Function"
"GetPerformanceMode","External[ ? ]","External Function"
"SetResumeNotificationEnabled","External[ ? ]","External Function"
"SetOperationModeChangedNotificationEnabled","External[ ? ]","External Function"
"SetPerformanceModeChangedNotificationEnabled","External[ ? ]","External Function"
"SetFocusHandlingMode","External[ ? ]","External Function"
"TryPopNotificationMessage","External[ ? ]","External Function"
"GetCurrentFocusState","External[ ? ]","External Function"
"FinishStartupLogo","External[ ? ]","External Function"
"GetBacktrace","External[ ? ]","External Function"
"GetSymbolName","External[ ? ]","External Function"
"GetSymbolSize","External[ ? ]","External Function"
"MountSaveData","External[ ? ]","External Function"
"memalign","External[ ? ]","External Function"
"strchr","External[ ? ]","External Function"
"strtoul","External[ ? ]","External Function"
"GetThreadNamePointer","External[ ? ]","External Function"
"FinalizeSevenSixAxisSensor","External[ ? ]","External Function"
"InitializeSevenSixAxisSensor","External[ ? ]","External Function"
"IsVrMode","External[ ? ]","External Function"
"EndVrMode","External[ ? ]","External Function"
"BeginVrMode","External[ ? ]","External Function"
"ResetSevenSixAxisSensorTimestamp","External[ ? ]","External Function"
"StartSevenSixAxisSensor","External[ ? ]","External Function"
"EnableRecording","External[ ? ]","External Function"
"StopSevenSixAxisSensor","External[ ? ]","External Function"
"GetSevenSixAxisSensorStates","External[ ? ]","External Function"
"StartRestorer","External[ ? ]","External Function"
"ListDevices","External[ ? ]","External Function"
"GetNpadId","External[ ? ]","External Function"
"GetState","External[ ? ]","External Function"
"GetDeviceState","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"Finalize","External[ ? ]","External Function"
"StartDetection","External[ ? ]","External Function"
"StopDetection","External[ ? ]","External Function"
"AttachActivateEvent","External[ ? ]","External Function"
"AttachDeactivateEvent","External[ ? ]","External Function"
"Mount","External[ ? ]","External Function"
"Mount","External[ ? ]","External Function"
"Unmount","External[ ? ]","External Function"
"GetCommonInfo","External[ ? ]","External Function"
"GetRegisterInfo","External[ ? ]","External Function"
"OpenApplicationArea","External[ ? ]","External Function"
"GetApplicationArea","External[ ? ]","External Function"
"GetTagInfo","External[ ? ]","External Function"
"GetModelInfo","External[ ? ]","External Function"
"ReleaseSemaphore","External[ ? ]","External Function"
"GetCurrentTime","External[ ? ]","External Function"
"clock","External[ ? ]","External Function"
"time","External[ ? ]","External Function"
"SetEventId","External[ ? ]","External Function"
"Add","External[ ? ]","External Function"
"Add","External[ ? ]","External Function"
"Add","External[ ? ]","External Function"
"GetCount","External[ ? ]","External Function"
"Save","External[ ? ]","External Function"
"Save","External[ ? ]","External Function"
"PlayReport","External[ ? ]","External Function"
"SetBuffer","External[ ? ]","External Function"
"ListAllUsers","External[ ? ]","External Function"
"Build","External[ ? ]","External Function"
"RequestSharedFontLoad","External[ ? ]","External Function"
"GetSharedFontLoadState","External[ ? ]","External Function"
"GetSharedFontAddress","External[ ? ]","External Function"
"GetSharedFontSize","External[ ? ]","External Function"
"ShowError","External[ ? ]","External Function"
"SetUserInactivityDetectionTimeExtended","External[ ? ]","External Function"
"SetUserExceptionHandler","External[ ? ]","External Function"
"InitializeAbortObserverHolder","External[ ? ]","External Function"
"RegisterAbortObserver","External[ ? ]","External Function"
"GetCurrentFiber","External[ ? ]","External Function"
"GetRequiredBufferSizeForGetAllModuleInfo","External[ ? ]","External Function"
"GetAllModuleInfo","External[ ? ]","External Function"
"SetAllocator","External[ ? ]","External Function"
"InitializeMultiWaitHolder","External[ ? ]","External Function"
"FinalizeMultiWaitHolder","External[ ? ]","External Function"
"Extractor","External[ ? ]","External Function"
"MediaData","External[ ? ]","External Function"
"FindString","External[ ? ]","External Function"
"strncasecmp","External[ ? ]","External Function"
"GetThreadPriority","External[ ? ]","External Function"
"Decoder","External[ ? ]","External Function"
"FindInt32","External[ ? ]","External Function"
"Clear","External[ ? ]","External Function"
"~MediaData","External[ ? ]","External Function"
"Buffer","External[ ? ]","External Function"
"SetDataAndCapacity","External[ ? ]","External Function"
"SetRange","External[ ? ]","External Function"
"~Buffer","External[ ? ]","External Function"
"Size","External[ ? ]","External Function"
"Offset","External[ ? ]","External Function"
"FindRect","External[ ? ]","External Function"
"InitializeMultiWait","External[ ? ]","External Function"
"LinkMultiWaitHolder","External[ ? ]","External Function"
"WaitAny","External[ ? ]","External Function"
"UnlinkMultiWaitHolder","External[ ? ]","External Function"
"FinalizeMultiWait","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"Finalize","External[ ? ]","External Function"
"AcquireAudioDeviceSwitchNotification","External[ ? ]","External Function"
"GetActiveChannelCount","External[ ? ]","External Function"
"TryWaitSystemEvent","External[ ? ]","External Function"
"GetThreadCoreMask","External[ ? ]","External Function"
"exp2f","External[ ? ]","External Function"
"Reset","00000000","Label"
"FUN_71000001c0","71000001c0","Function"
"__nnDetailNintendoSdkRuntimeObjectFileRefer","71000001e0","Thunk Function"
"nndetailRoGetRoDataStart","71000001f0","Function"
"nndetailRoGetRoDataEnd","7100000200","Function"
"__nnDetailNintendoSdkRuntimeObjectFile","7100000210","Function"
"FUN_7100000590","7100000590","Function"
"FUN_71000008d0","71000008d0","Function"
"FUN_7100000f10","7100000f10","Function"
"FUN_7100001de0","7100001de0","Function"
"FUN_7100001ec0","7100001ec0","Function"
"FUN_71000028d0","71000028d0","Function"
"FUN_7100002c90","7100002c90","Function"
"FUN_71000036e0","71000036e0","Function"
"FUN_71000037b0","71000037b0","Function"
"FUN_71000038e0","71000038e0","Function"
"FUN_7100003940","7100003940","Function"
"FUN_71000039f0","71000039f0","Function"
"FUN_7100003aa0","7100003aa0","Function"
"FUN_7100003d20","7100003d20","Function"
"FUN_7100003fd0","7100003fd0","Function"
"FUN_7100004190","7100004190","Function"
"FUN_7100004260","7100004260","Function"
"FUN_7100004380","7100004380","Function"
"FUN_7100004450","7100004450","Function"
"FUN_7100004570","7100004570","Function"
"FUN_71000048d0","71000048d0","Function"
